山东省,泰安市,东平县,35.97472,116.34139
河南省,洛阳市,汝阳县,34.05092,112.45459
辽宁省,辽阳市,太子河区,41.23278,123.16972
内蒙古自治区,乌兰察布市,集宁区,41.03504,113.107
安徽省,安庆市,大观区,30.50894,117.02092
福建省,三明市,建宁县,26.80511,116.76387
江西省,萍乡市,芦溪县,27.57664,114.02694
贵州省,铜仁地区,万山特区,27.50721,109.25339
安徽省,六安市,金寨县,31.47778,115.79829
湖南省,常德市,安乡县,29.40917,112.17194
广东省,广州市,花都区,23.37722,113.19611
广西壮族自治区,桂林市,资源县,26.05608,110.58502
山西省,晋城市,陵川县,35.66794,113.31359
黑龙江省,佳木斯市,桦川县,47.04955,130.89282
陝西省,西安市,灞桥区,34.27743,109.06334
山西省,临汾市,永和县,36.71584,110.62063
陝西省,渭南市,合阳县,35.20583,110.13139
山东省,潍坊市,寿光市,36.98389,118.85833
广西壮族自治区,钦州市,钦北区,22.11859,108.65719
内蒙古自治区,包头市,石拐区,40.67915,110.27891
陝西省,渭南市,韩城市,35.57528,110.36139
贵州省,铜仁地区,江口县,27.80336,108.76896
四川省,阿坝藏族羌族自治州,马尔康县,31.91487,102.20306
辽宁省,沈阳市,东陵区,41.75361,123.46417
河南省,新乡市,辉县市,35.52564,113.69764
江苏省,江苏省,下关区,32.10113,118.74781
辽宁省,葫芦岛市,连山区,40.80583,120.81972
河南省,漯河市,源汇区,33.53863,113.92122
内蒙古自治区,通辽市,科尔沁区,43.62642,122.26975
山东省,临沂市,费县,35.2375,117.97167
安徽省,马鞍山市,含山县,31.63168,118.01103
云南省,楚雄彝族自治州,牟定县,25.3471,101.56713
河北省,邢台市,宁晋县,37.611,114.912
湖南省,怀化市,麻阳苗族自治县,27.7721,109.69217
湖北省,荆州市,洪湖市,30.01266,113.52924
河南省,安阳市,龙安区,36.08833,114.33056
湖北省,荆州市,监利县,29.91584,113.07932
江苏省,江苏省,白下区,32.02241,118.82645
浙江省,衢州市,常山县,28.95968,118.5096
甘肃省,天水市,秦州区,34.34974,105.59636
贵州省,黔东南苗族侗族自治州,凯里市,26.64678,107.95062
河北省,邢台市,广宗县,37.06,115.15
四川省,德阳市,绵竹市,31.41342,104.17712
江苏省,南京市,玄武区,32.07091,118.84066
青海省,黄南藏族自治州,泽库县,35.12279,101.47472
吉林省,长春市,二道区,43.86384,125.37629
贵州省,黔西南布依族苗族自治州,望谟县,25.2687,106.0841
安徽省,阜阳市,临泉县,32.90599,115.32038
陝西省,渭南市,蒲城县,34.96219,109.66063
湖南省,邵阳市,双清区,27.20357,111.48426
湖南省,怀化市,新晃侗族自治县,27.2347,109.10899
湖北省,荆门市,钟祥市,31.24658,112.62195
云南省,楚雄彝族自治州,永仁县,26.12294,101.58128
河北省,邢台市,任县,37.122,114.67
天津市,天津市,静海县,38.85512,116.98825
广东省,韶关市,仁化县,25.14933,113.79586
黑龙江省,大庆市,肇州县,45.73316,125.24285
新疆维吾尔自治区,乌鲁木齐市,米东区,44.42117,87.66553
安徽省,安徽省,休宁县,29.68221,118.09753
青海省,海东市,民和回族土族自治县,36.15623,102.75305
河北省,沧州市,任丘市,38.71667,116.08333
吉林省,长春市,南关区,43.86214,125.34138
云南省,红河哈尼族彝族自治州,建水县,23.63062,102.88387
陝西省,西安市,周至县,33.95212,108.14538
湖北省,黄冈市,麻城市,31.31911,115.10771
江苏省,连云港市,海州区,34.59543,119.13163
河北省,邯郸市,磁县,36.36667,114.38333
山西省,忻州市,五寨县,39.01149,111.761
新疆维吾尔自治区,和田地区,墨玉县,37.28333,79.7
北京市,北京市,西城區,39.93317,116.37337
湖北省,荆州市,松滋市,30.09645,111.71437
西藏自治区,林芝地区,林芝县,29.66419,94.37119
海南省,海南省,文昌市,19.74389,110.77139
江苏省,淮安市,连水县,33.87188,119.30204
河南省,安阳市,滑县,35.47302,114.66942
西藏自治区,山南地区,札囊县,29.25912,91.41273
甘肃省,定西市,岷县,34.4349,104.17566
四川省,凉山彝族自治州,昭觉县,28.06439,102.78168
天津市,天津市,津南区,38.99611,117.38818
江西省,赣州市,大余县,25.42428,114.36831
山东省,临沂市,临沭县,34.88528,118.63861
黑龙江省,伊春市,五营区,48.18139,129.28868
四川省,乐山市,五通桥区,29.42116,103.78742
河南省,洛阳市,瀍河回族区,34.705,112.52528
广西壮族自治区,南宁市,青秀区,22.79105,108.49216
湖南省,株洲 市,石峰区,27.86019,113.11391
广东省,汕头市,潮陽区,23.2661,116.59611
云南省,昭通市,永善县,27.92895,103.56199
西藏自治区,日喀则地区,康马县,28.45848,89.61345
北京市,北京市,怀柔区,40.63036,116.58059
河北省,邯郸市,临漳县,36.33333,114.66667
福建省,闽都,马尾区,26.01054,119.46296
云南省,大理白族自治州,洱源县,26.11667,99.95
浙江省,台州市,仙居县,28.73615,120.62934
河南省,商丘市,永城市,33.96552,116.32132
吉林省,长春市,绿园区,43.90048,125.26026
新疆维吾尔自治区,喀什地区,麦盖提县,38.88333,77.58333
云南省,保山市,腾冲县,25.32508,98.46133
黑龙江省,伊春市,汤旺河区,48.42919,129.5501
吉林省,白城市,洮南市,45.42711,122.45138
青海省,玉树藏族自治州,曲麻莱县,34.94737,95.20384
辽宁省,朝阳市,凌源市,40.95829,119.26195
陝西省,延安市,黄龙县,35.72861,109.89722
河北省,承德市,双桥区,40.96667,117.90833
湖南省,怀化市,芷江侗族自治县,27.35029,109.59047
四川省,眉山市,青神县,29.81798,103.81994
广东省,河源市,东源县,23.97091,114.8444
河南省,周口市,淮阳县,33.70709,114.88521
浙江省,温州市,泰顺县,27.51992,119.86109
西藏自治区,昌都市,边坝县,30.90188,94.62596
黑龙江省,黑河市,北安市,48.27376,126.64263
浙江省,杭州市,临安市,30.23333,119.71667
新疆维吾尔自治区,博尔塔拉蒙古自治州,博乐市,44.98,81.95
福建省,三明市,大田县,25.76027,117.83742
福建省,鲤城,泉港区,25.1608,118.83993
云南省,昆明市,五华区,24.94636,102.67143
广东省,肇庆市,德庆县,23.30112,111.97696
广东省,云浮市,郁南县,23.02975,111.61734
山东省,德州市,齐河县,36.799,116.74
安徽省,安徽省,歙县,29.81712,118.59748
河北省,廊坊市,霸州市,39.1,116.4
河南省,信阳市,浉河区,32.0178,113.99333
浙江省,宁波市,慈溪市,30.23224,121.2887
湖南省,岳阳市,岳阳楼区,29.30677,113.11681
山东省,德州市,德城区,37.45046,116.33039
安徽省,安庆市,迎江区,30.49234,117.04453
四川省,达州市,大竹县,30.70521,107.27452
广东省,肇庆市,高要市,22.98512,112.38624
福建省,厦门市,湖里区,24.50943,118.09782
江西省,赣州市,石城县,26.28207,116.34598
江西省,抚州市,临川区,27.9344,116.34614
山西省,山西省,阳泉矿区,37.85408,113.53825
福建省,闽都,平潭县,25.51667,119.79253
云南省,红河哈尼族彝族自治州,泸西县,24.50955,103.74888
内蒙古自治区,呼伦贝尔市,新巴尔虎左旗,48.26691,118.27205
广西壮族自治区,桂林市,临桂县,25.2,110.2
江苏省,常州市,金坛市,31.71782,119.50257
江西省,九江市,武宁县,29.26262,115.09535
陝西省,汉中市,佛坪县,33.52222,107.9325
江西省,吉安市,永丰县,27.08493,115.68452
甘肃省,白银市,景泰县,37.10567,104.05523
新疆维吾尔自治区,阿克苏地区,温宿县,41.59257,80.46727
陝西省,商洛市,柞水县,33.68139,109.27528
天津市,天津市,河西区,39.08212,117.22672
广东省,江门市,新会区,22.43708,113.00718
安徽省,安徽省,黄山区,30.28917,118.13009
重庆市,重庆市,开县,31.27264,108.37849
安徽省,合肥市,巢湖市,31.4313,117.8323
广西壮族自治区,玉林市,博白县,22.21667,109.91667
山西省,大同市,矿区,40.02677,113.15602
四川省,广元市,苍溪县,31.92032,106.04278
湖北省,襄樊市,老河口市,32.43633,111.75639
江苏省,江苏省,平江区,31.32084,120.62646
湖南省,益阳市,桃江县,28.43494,111.98784
云南省,临沧市,云县,24.34195,100.27433
湖北省,咸宁市,通山县,29.62716,114.70321
福建省,漳州市,平和县,24.36222,117.30556
内蒙古自治区,呼伦贝尔市,莫力达瓦达斡尔族自治旗,50.66157,121.80197
黑龙江省,鹤岗市,东山区,47.33138,130.31479
四川省,成都市,新都区,30.75325,104.2523
河北省,秦皇岛市,卢龙县,39.91692,118.98288
吉林省,吉林市,丰满区,43.78127,126.55074
陝西省,榆林市,横山县,37.86722,109.4075
河北省,沧州市,盐山县,38.05,117.2
内蒙古自治区,呼和浩特市,和林格尔县,40.38612,111.81886
四川省,成都市,青白江区,30.87419,104.26047
四川省,自贡市,荣县,29.41306,104.34379
西藏自治区,日喀则地区,定结县,28.27541,87.93258
湖南省,张家界市,慈利县,29.40693,110.92101
山西省,吕梁市,文水县,37.43431,111.99809
山东省,淄博市,临淄区,36.79417,118.32528
辽宁省,锦州市,义县,41.58417,121.25444
河南省,洛阳市,洛龙区,34.63677,112.43933
新疆维吾尔自治区,昌吉回族自治州,玛纳斯县,44.35746,86.37154
福建省,龙岩市,永定区,24.75436,116.81672
西藏自治区,昌都市,左贡县,29.62133,97.72375
广东省,汕头市,潮南区,23.22167,116.44278
河北省,承德市,承德縣,40.96221,118.13746
安徽省,滁州市,来安县,32.49249,118.46846
甘肃省,平凉市,庄浪县,35.21936,106.07556
山西省,忻州市,定襄县,38.52454,113.00191
江苏省,徐州市,泉山区,34.22548,117.17498
内蒙古自治区,巴彦淖尔市,五原县,41.00733,108.11221
宁夏回族自治区,银川市,金凤区,38.47477,106.24021
江西省,九江市,星子县,29.3596,115.94286
安徽省,阜阳市,颍州区,32.90249,115.83016
西藏自治区,日喀则地区,萨迦县,28.77752,88.34074
河北省,保定市,望都县,38.71667,115.15
海南省,海南省,东方市,18.99361,108.84083
贵州省,黔南布依族苗族自治州,平塘县,25.80102,107.20927
湖北省,恩施土家族苗族自治州,来凤县,29.50443,109.39921
广西壮族自治区,河池市,凤山县,24.53333,107.05
河北省,承德市,隆化县,41.50439,117.60959
贵州省,黔南布依族苗族自治州,惠水县,26.01982,106.74041
山东省,淄博市,博山区,36.47639,117.9025
江西省,赣州市,安远县,25.24598,115.37121
宁夏回族自治区,固原市,隆德县,35.58665,106.06326
河南省,平顶山市,卫东区,33.78038,113.35095
新疆维吾尔自治区,塔城地区,托里县,45.68753,83.90996
福建省,龙岩市,武平县,25.1357,116.08231
四川省,乐山市,沙湾区,29.42442,103.51449
黑龙江省,双鸭山市,饶河县,47.13028,133.61799
辽宁省,丹东市,凤城市,40.52861,124.04944
河北省,承德市,兴隆县,40.40002,117.7265
江西省,抚州市,宜黄县,27.39263,116.21347
云南省,临沧市,镇康县,23.89288,98.99242
四川省,雅安市,天全县,30.08619,102.59264
