2000-01-06 00:00:26,No-Fixed,24.228843688964844,120.688720703125,134,0,0,9999,0
2000-01-06 00:00:42,No-Fixed,24.228843688964844,120.688720703125,134,0,0,9999,0
2000-01-05 23:59:38,No-Fixed,24.228843688964844,120.688720703125,134,0,0,9999,0
2000-01-05 23:59:53,No-Fixed,24.228843688964844,120.688720703125,134,0,0,9999,0
2000-01-06 00:00:08,No-Fixed,24.228843688964844,120.688720703125,134,0,0,9999,0
2000-01-06 00:00:23,No-Fixed,24.228843688964844,120.688720703125,134,0,0,9999,0
2000-01-06 01:41:06,No-Fixed,24.228843688964844,120.688720703125,134,0,0,9999,0
2000-01-06 01:41:17,No-Fixed,24.228843688964844,120.688720703125,134,0,0,9999,0
2000-01-06 01:41:32,No-Fixed,24.228843688964844,120.688720703125,134,0,0,9999,0
2000-01-06 01:41:47,No-Fixed,24.228843688964844,120.688720703125,134,0,0,9999,0
2000-01-06 01:42:02,No-Fixed,24.228843688964844,120.688720703125,134,0,0,9999,0
2000-01-06 01:42:17,No-Fixed,24.228843688964844,120.688720703125,134,0,0,9999,0
2000-01-06 01:42:32,No-Fixed,24.228843688964844,120.688720703125,134,0,0,9999,0
2022-10-26 01:42:40,No-Fixed,24.359432220458984,120.18621063232422,411,0,0,9999,1
2022-10-26 01:42:47,No-Fixed,24.49699592590332,120.6767578125,21,0,197,356,4
2022-10-26 01:43:02,No-Fixed,24.496999740600586,120.67630004882812,13,0,124,866,4
2022-10-26 01:43:17,No-Fixed,24.496923446655273,120.67644500732422,8,0,114,866,4
2022-10-26 01:43:32,No-Fixed,24.49690055847168,120.6764907836914,10,0,87,866,4
2022-10-26 01:43:47,3D,24.496929168701172,120.67659759521484,14,0,87,184,5
2022-10-26 01:44:02,3D,24.4969425201416,120.67654418945312,20,0,38,865,4
2022-10-26 01:44:17,3D,24.4969482421875,120.67649841308594,19,0,272,864,4
2022-10-26 01:44:32,No-Fixed,24.496965408325195,120.67648315429688,23,0,255,9999,2
2022-10-26 01:47:18,No-Fixed,24.228843688964844,120.688720703125,175,0,0,9999,0
2022-10-26 01:47:33,No-Fixed,24.228843688964844,120.688720703125,175,0,0,9999,0
2022-10-26 01:50:20,3D,24.495420455932617,120.67630004882812,12,16,150,68,16
2022-10-26 01:50:36,3D,24.49419403076172,120.67696380615234,31,19,159,68,16
2022-10-26 01:53:23,3D,24.46410369873047,120.67640686035156,161,23,158,70,15
2022-10-26 01:53:38,3D,24.460861206054688,120.67713165283203,157,23,166,70,15
2022-10-26 01:56:24,3D,24.425153732299805,120.68241119384766,141,24,178,68,15
2022-10-26 01:56:40,3D,24.421611785888672,120.68326568603516,128,25,165,72,13
2022-10-26 01:59:27,3D,24.386402130126953,120.68750762939453,86,21,191,72,15
2022-10-26 01:59:42,3D,24.383434295654297,120.68681335449219,98,22,182,72,15
2022-10-26 02:02:29,3D,24.350526809692383,120.68951416015625,198,23,160,74,14
2022-10-26 02:02:44,3D,24.347496032714844,120.69017028808594,203,20,171,80,13
2022-10-26 02:05:30,3D,24.313838958740234,120.6966781616211,225,23,172,70,15
2022-10-26 02:05:46,3D,24.310741424560547,120.69703674316406,227,25,173,70,15
2022-10-26 02:08:33,3D,24.276241302490234,120.69390106201172,203,21,179,67,16
2022-10-26 02:08:48,3D,24.273286819458008,120.69381713867188,201,22,185,68,15
2022-10-26 02:11:35,3D,24.241485595703125,120.68946838378906,201,21,187,71,15
2022-10-26 02:11:50,3D,24.238662719726562,120.6891098022461,202,19,195,71,15
2022-10-26 02:14:36,3D,24.228792190551758,120.68885803222656,206,2,273,157,7
2022-10-26 02:14:51,3D,24.22875213623047,120.68868255615234,211,1,258,208,5
2022-10-26 02:17:37,No-Fixed,24.22869110107422,120.68876647949219,211,0,0,383,4
2022-10-26 02:17:52,3D,24.22868537902832,120.68873596191406,211,0,299,277,5
2022-10-26 02:20:39,No-Fixed,24.22869300842285,120.6885757446289,189,0,274,263,6
2022-10-26 02:20:55,3D,24.228792190551758,120.68842315673828,167,0,272,123,8
2022-10-26 02:23:42,3D,24.22872543334961,120.68858337402344,163,0,253,125,6
2022-10-26 02:23:57,3D,24.228763580322266,120.68876647949219,163,0,296,81,11
2022-10-26 02:26:43,No-Fixed,24.228918075561523,120.68855285644531,163,0,327,286,5
2022-10-26 02:26:59,3D,24.228918075561523,120.68844604492188,164,0,259,100,7
2022-10-26 02:29:45,No-Fixed,24.22891616821289,120.68856048583984,164,0,0,9999,2
2022-10-26 02:30:00,No-Fixed,24.22904396057129,120.6883773803711,164,0,269,222,4
2022-10-26 02:32:47,No-Fixed,24.22895050048828,120.68843078613281,162,0,350,9999,2
2022-10-26 02:33:02,No-Fixed,24.228961944580078,120.68843841552734,160,0,350,775,3
2022-10-26 02:35:49,3D,24.228839874267578,120.68865966796875,187,0,265,166,7
2022-10-26 02:36:04,3D,24.228784561157227,120.68864440917969,192,0,262,131,8
2022-10-26 02:38:50,3D,24.228683471679688,120.68843841552734,190,2,273,142,8
2022-10-26 02:39:06,3D,24.228734970092773,120.68842315673828,189,1,262,142,8
2022-10-26 02:41:53,3D,24.228700637817383,120.68871307373047,189,0,307,129,9
2022-10-26 02:42:08,3D,24.22870445251465,120.68866729736328,189,0,320,64,16
2022-10-26 02:44:55,3D,24.228679656982422,120.68858337402344,189,0,321,115,7
2022-10-26 02:45:10,3D,24.228696823120117,120.68865203857422,189,0,6,83,10
2022-10-26 02:47:59,3D,24.228620529174805,120.68864440917969,189,0,314,116,8
